Version:1.0.1,,,,,,,,,,,,,,,,,,
ID_VALUE,ID_NAME,TYPE,Parameters Number,Original Format,,,,,,,,,,,,,
1067,,INT32,2,"""ota anchor %d uwb start result %d! """,,,,,,,,,,,,
1068,,INT32,2,"""ota anchor %d uwb result %d! """,,,,,,,,,,,,
1069,,INT32,1,"""uwb ranging reset! session id is %x""",,,,,,,,,,,,
1070,,NONE,0,"""unlock car!""",,,,,,,,,,,,
1071,,NONE,0,"""lock car!""",,,,,,,,,,,,
1072,,NONE,0,"""Rear tailgate unlocking!""",,,,,,,,,,,,
1073,,NONE,0,"""Main frame electric door open!""",,,,,,,,,,,,
1074,,NONE,0,"""car search!""",,,,,,,,,,,,
1075,,NONE,0,"""One click window down!""",,,,,,,,,,,,
1076,,NONE,0,"""One click window up!""",,,,,,,,,,,,
1077,,NONE,0,"""Electric opening of rear tailgate!""",,,,,,,,,,,,
1078,,NONE,0,"""Electric closing of rear tailgate!""",,,,,,,,,,,,
1079,,NONE,0,"""Suspension adjustment up!""",,,,,,,,,,,,
1080,,NONE,0,"""Suspension adjustment down!""",,,,,,,,,,,,
1081,,INT32,1,"""uwb location init,tag id is %d""",,,,,,,,,,,,
1082,,INT32,7,"""uwb location coordinate calculation failed,tag id is %d,ret is %d,anchor(0-4) dist is %d %d %d %d %d""",,,,,,,,,,,,
1083,,INT32,2,"""uwb anchor is invalid(distance is 0 or 65535 more than 10 consecutive times),tag id is %d,anchor id is %d""",,,,,,,,,,,,
1084,,INT32,5,"""uwb location select two anchor change,tag id is %d,two anchor %d %d->%d %d""",,,,,,,,,,,,
1085,,INT32,3,"""uwb location algorithm select switch,tag id is %d,algorithm %d->%d""",,,,,,,,,,,,
1086,,INT32,3,"""uwb location result(incar or outcar)change,tag id is %d,result %d->%d""",,,,,,,,,,,,
1087,,INT32,5,"""ble location init,tag id is %d""",,,,,,,,,,,,
1088,,INT32,3,"""ble location result(near or far)change,tag id is %d,result %d->%d""",,,,,,,,,,,,
1089,,NONE,0,"""Mute dkmm ble!""",,,,,,,,,,,,
1090,,NONE,0,"""Unmute dkmm ble!""",,,,,,,,,,,,
1091,,INT32,1,"""Anchor %d uwb uci command""",,,,,,,,,,,,
1092,,INT32,1,"""Initiator %d uwb uci command""",,,,,,,,,,,,
1093,,BYTES,32,"""uci data:""",,,,,,,,,,,,
1094,,INT32,1,"""uci result:%d""",,,,,,,,,,,,
1095,,NONE,0,"""digital key lock car request!""",,,,,,,,,,,,
1096,,NONE,0,"""digital key unlock car request!""",,,,,,,,,,,,
1097,,NONE,0,"""uwb zoon lock car request!""",,,,,,,,,,,,
1098,,NONE,0,"""uwb zoon unlock car request!""",,,,,,,,,,,,
1099,,INT32,2,"""lock car response status %d reason %d!""",,,,,,,,,,,,
1100,,INT32,2,"""unlock car response status %d reason %d!""",,,,,,,,,,,,
1101,,NONE,0,"""central locking car command send failed!""",,,,,,,,,,,,
1102,,NONE,0,"""car is already locked!""",,,,,,,,,,,,
1103,,NONE,0,"""car is already unlocked!""",,,,,,,,,,,,
1104,,NONE,0,"""waiting car control response timeout!""",,,,,,,,,,,,
1105,,NONE,0,"""rtc update failed!""",,,,,,,,,,,,
1106,,NONE,0,"""radar open backdoor request!""",,,,,,,,,,,,
1107,,NONE,0,"""backdoor is already open!""",,,,,,,,,,,,
1108,,NONE,0,"""open backdoor!""",,,,,,,,,,,,
1109,,INT32,2,"""open backdoor response status %d reason %d!""",,,,,,,,,,,,
1110,,NONE,0,"""waiting backdoor open response timeout!""",,,,,,,,,,,,
1111,,NONE,0,"""backdoor open command send fail!""",,,,,,,,,,,,
1112,,NONE,0,"""backdoor is already closed!""",,,,,,,,,,,,
1113,,NONE,0,"""close backdoor!""",,,,,,,,,,,,
1114,,INT32,2,"""close backdoor response status %d reason %d!""",,,,,,,,,,,,
1115,,NONE,0,"""waiting backdoor close response timeout!""",,,,,,,,,,,,
1116,,NONE,0,"""backdoor close command send fail!""",,,,,,,,,,,,
1117,,INT32,1,"""key position %d request! in car is 0 out car is 1""",,,,,,,,,,,,
1118,,NONE,0,"""welcome zone request!""",,,,,,,,,,,,
1119,,INT32,1,"""key position %d control! in car is 0 out car is 1""",,,,,,,,,,,,
1120,,NONE,0,"""welcome zone control!""",,,,,,,,,,,,
1121,,INT32,1,"""key position %d control fail! in car is 0 out car is 1""",,,,,,,,,,,,
1122,,NONE,0,"""welcome zone control fail!""",,,,,,,,,,,,
1123,,NONE,0,"""ble disconnect lock car request!""",,,,,,,,,,,,
1124,,NONE,0,"""ble zone lock car request""",,,,,,,,,,,,
1125,,NONE,0,"""ble zone unlock car request""",,,,,,,,,,,,
1126,,INT32,1,"""ble tag_id %d start calibrate""",,,,,,,,,,,,
1127,,INT32,2,"""ble tag_id %d end calibrate thr_val %d""",,,,,,,,,,,,
1128,,INT32,5,"""ble calibration param update tag_id %d val %d %d %d %d""",,,,,,,,,,,,
1129,,INT32,5,"""single ble location init tag_id %d thr_val %d %d %d %d""",,,,,,,,,,,,
1130,,STRING,1,"""mcu assertion failed at file %s""",,,,,,,,,,,,
1131,,INT32,1,"""mcu assertion failed at line %d""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1324,,BYTES,16,"""VC chip uid:""",,,,,,,,,,,,
1325,,BYTES,20,"""VC uart recv error data: """,,,,,,,,,,,,
1326,,INT32,2,"""VC vehicle peps io ctrl channel: %d, action: %d""",,,,,,,,,,,,
1327,,INT32,2,""" VC vehicle ctrl cmd unsupported msg_id: 0x%x, func_id: 0x%x""",,,,,,,,,,,,
1328,,NONE,0,"""can id 0x3dc not recieve over 30s""",,,,,,,,,,,,
1329,,INT32,2,"""can id 0x3dc gear change from %d to %d""",,,,,,,,,,,,
1330,,INT32,2,"""halCanfd %d recieve queue overflow %d""",,,,,,,,,,,,
1331,,INT32,1,"""VC engine stop, clear gear pos. clear type: %d""",,,,,,,,,,,,
1332,,BYTES,,"""VC clear 6_fualt_info: """,,,,,,,,,,,,
1333,,BYTES,,"""VC clear 4_fualt_info: """,,,,,,,,,,,,
1334,,NONE,0,"""VC clear all fault info""",,,,,,,,,,,,
1336,,NONE,0,"""VC set NO_VIN""",,,,,,,,,,,,
1337,,BYTES,,"""VC get fault info: """,,,,,,,,,,,,
1338,,BYTES,,"""VC clear fault code: """,,,,,,,,,,,,
1339,,BYTES,6,"""VC vehicle-cloud get setting: """,,,,,,,,,,,,
1340,,BYTES,6,"""VC vehicle-cloud set setting: """,,,,,,,,,,,,
1341,,NONE,0,"""VC set anti approach vehicle wakeup flag""",,,,,,,,,,,,
1342,,NONE,0,"""VC clear anti approach vehicle wakeup flag""",,,,,,,,,,,,
1343,,NONE,0,"""VC trigger approach vehicle wakeup""",,,,,,,,,,,,
1344,,INT32,1,"""VC uart send data legth: %d""",,,,,,,,,,,,
1345,,INT32,1,"""VC vehicle event report tag_id: %d""",,,,,,,,,,,,
1346,,INT32,4,"""VC Boot Version %d.%d.%d-%d""",,,,,,,,,,,,
1347,,INT32,4,"""VC powerup version: %d.%d.%d-%d""",,,,,,,,,,,,
1348,,NONE,0,"""VC vin sts""",,,,,,,,,,,,
1349,,NONE,0,"""VC keybutton sts""",,,,,,,,,,,,
1350,,INT32,1,"""motion sensor get flash data failed: %d """,,,,,,,,,,,,
1351,,NONE,0,"""motion sensor get flash data succ""",,,,,,,,,,,,
1352,,NONE,0,"""motion sensor cal start""",,,,,,,,,,,,
